"Kafli","Undirheiti kafla","Kaflaröðun","Gr.","Málsgr.","Málsl.","Titill greinar","Efni"
,"Aðfaraorð",1,,1,1,,"Við sem byggjum Ísland viljum skapa réttlátt samfélag þar sem allir sitja við sama borð."
,"Aðfaraorð",1,,1,2,,"Ólíkur uppruni okkar auðgar heildina og saman berum við ábyrgð á arfi kynslóðanna, landi og sögu, náttúru, tungu og menningu."
,"Aðfaraorð",1,,2,1,,"Ísland er frjálst og fullvalda ríki með frelsi, jafnrétti, lýðræði og mannréttindi að hornsteinum."
,"Aðfaraorð",1,,3,1,,"Stjórnvöld skulu vinna að velferð íbúa landsins, efla menningu þeirra og virða margbreytileika mannlífs, lands og lífríkis."
,"Aðfaraorð",1,,4,1,,"Við viljum efla friðsæld, öryggi, heill og hamingju á meðal okkar og komandi kynslóða."
,"Aðfaraorð",1,,4,2,,"Við einsetjum okkur að vinna með öðrum þjóðum að friði og virðingu fyrir jörðinni og öllu mannkyni."
,"Aðfaraorð",1,,5,1,,"Í þessu ljósi setjum við okkur nýja stjórnarskrá, æðstu lög landsins, sem öllum ber að virða."
"I. kafli","Undirstöður",2,1,1,1,"Stjórnarform","Ísland er lýðveldi með þingræðisstjórn."
"I. kafli","Undirstöður",2,2,1,1,"Handhafar ríkisvalds","Alþingi fer með löggjafarvaldið í umboði þjóðarinnar."
"I. kafli","Undirstöður",2,2,2,1,"Handhafar ríkisvalds","Forseti Íslands, ráðherrar og ríkisstjórn og önnur stjórnvöld fara með framkvæmdarvaldið."
"I. kafli","Undirstöður",2,2,3,1,"Handhafar ríkisvalds","Hæstiréttur Íslands og aðrir dómstólar fara með dómsvaldið."
"I. kafli","Undirstöður",2,3,1,1,"Yfirráðasvæði","Íslenskt landsvæði er eitt og óskipt."
"I. kafli","Undirstöður",2,3,1,2,"Yfirráðasvæði","Mörk íslenskrar landhelgi, lofthelgi og efnahagslögsögu skulu ákveðin með lögum."
"I. kafli","Undirstöður",2,4,1,1,"Ríkisborgararéttur","Rétt til íslensks ríkisfangs öðlast þeir sem eiga foreldri með íslenskt ríkisfang."
"I. kafli","Undirstöður",2,4,1,2,"Ríkisborgararéttur","Ríkisborgararéttur verður að öðru leyti veittur samkvæmt lögum."
"I. kafli","Undirstöður",2,4,2,1,"Ríkisborgararéttur","Engan má svipta íslenskum ríkisborgararétti."
"I. kafli","Undirstöður",2,4,3,1,"Ríkisborgararéttur","Íslenskum ríkisborgara verður ekki meinað að koma til landsins né verður honum vísað úr landi."
"I. kafli","Undirstöður",2,4,3,2,"Ríkisborgararéttur","Með lögum skal skipað rétti útlendinga til að koma til landsins og dveljast hér, svo og fyrir hvaða sakir sé hægt að vísa þeim úr landi."
"I. kafli","Undirstöður",2,5,1,1,"Skyldur borgaranna","Stjórnvöldum ber að tryggja að allir fái notið þeirra réttinda og þess frelsis sem í þessari stjórnarskrá felast."
"I. kafli","Undirstöður",2,5,2,1,"Skyldur borgaranna","Allir skulu virða stjórnarskrá þessa í hvívetna, sem og þau lög, skyldur og réttindi sem af henni leiða."
"II. kafli","Mannréttindi og náttúra",3,6,1,1,"Jafnræði","Öll erum við jöfn fyrir lögum og skulum njóta mannréttinda án mismununar, svo sem vegna kynferðis, aldurs, arfgerðar, búsetu, efnahags, fötlunar, kynhneigðar, kynþáttar, litarháttar, skoðana, stjórnmálatengsla, trúarbragða, tungumáls, uppruna, ætternis og stöðu að öðru leyti."
"II. kafli","Mannréttindi og náttúra",3,6,2,1,"Jafnræði","Konur og karlar skulu njóta jafns réttar í hvívetna."
"II. kafli","Mannréttindi og náttúra",3,7,1,1,"Réttur til lífs","Allir hafa meðfæddan rétt til lífs."
"II. kafli","Mannréttindi og náttúra",3,8,1,1,"Mannleg reisn","Öllum skal tryggður réttur til að lifa með reisn."
"II. kafli","Mannréttindi og náttúra",3,8,1,2,"Mannleg reisn","Margbreytileiki mannlífsins skal virtur í hvívetna."
"II. kafli","Mannréttindi og náttúra",3,9,1,1,"Vernd réttinda","Yfirvöldum ber ætíð að vernda borgarana gegn mannréttindabrotum, hvort heldur sem brotin eru af völdum handhafa ríkisvalds eða annarra."
"II. kafli","Mannréttindi og náttúra",3,10,1,1,"Mannhelgi","Öllum skal tryggð mannhelgi og vernd gegn hvers kyns ofbeldi, svo sem kynferðisofbeldi, innan heimilis og utan."
"II. kafli","Mannréttindi og náttúra",3,11,1,1,"Friðhelgi einkalífs","Friðhelgi einkalífs, heimilis og fjölskyldu skal tryggð."
"II. kafli","Mannréttindi og náttúra",3,11,2,1,"Friðhelgi einkalífs","Ekki má gera líkamsrannsókn eða leit á manni, leit í húsakynnum hans eða munum, nema samkvæmt dómsúrskurði eða sérstakri lagaheimild."
"II. kafli","Mannréttindi og náttúra",3,11,2,2,"Friðhelgi einkalífs","Það sama á við um rannsókn á skjölum og póstsendingum, símtölum og öðrum fjarskiptum, svo og hvers konar sambærilega skerðingu á einkalífi manns."
"II. kafli","Mannréttindi og náttúra",3,11,3,1,"Friðhelgi einkalífs","Þrátt fyrir ákvæði 1. mgr. má með sérstakri lagaheimild takmarka á annan hátt friðhelgi einkalífs, heimilis eða fjölskyldu ef brýna nauðsyn ber til vegna réttinda annarra."
"II. kafli","Mannréttindi og náttúra",3,12,1,1,"Réttur barna","Öllum börnum skal tryggð í lögum sú vernd og umönnun sem velferð þeirra krefst."
"II. kafli","Mannréttindi og náttúra",3,12,2,1,"Réttur barna","Það sem barni er fyrir bestu skal ávallt hafa forgang þegar teknar eru ákvarðanir í málum sem það varðar."
"II. kafli","Mannréttindi og náttúra",3,12,3,1,"Réttur barna","Barni skal tryggður réttur til að tjá skoðanir sínar í öllum málum sem það varðar og skal tekið réttmætt tillit til skoðana barnsins í samræmi við aldur þess og þroska."
"II. kafli","Mannréttindi og náttúra",3,13,1,1,"Eignarréttur","Eignarrétturinn er friðhelgur."
"II. kafli","Mannréttindi og náttúra",3,13,1,2,"Eignarréttur","Engan má skylda til að láta af hendi eign sína nema almenningsþörf krefji."
"II. kafli","Mannréttindi og náttúra",3,13,1,3,"Eignarréttur","Þarf til þess lagafyrirmæli og komi fullt verð fyrir."
"II. kafli","Mannréttindi og náttúra",3,13,2,1,"Eignarréttur","Eignarrétti fylgja skyldur, svo og takmarkanir í samræmi við lög."
"II. kafli","Mannréttindi og náttúra",3,14,1,1,"Skoðana- og tjáningarfrelsi","Allir eru frjálsir skoðana sinna og sannfæringar og eiga rétt á að tjá hugsanir sínar."
"II. kafli","Mannréttindi og náttúra",3,14,2,1,"Skoðana- og tjáningarfrelsi","Ritskoðun og aðrar sambærilegar tálmanir á tjáningarfrelsi má aldrei í lög leiða."
"II. kafli","Mannréttindi og náttúra",3,14,2,2,"Skoðana- og tjáningarfrelsi","Þó má setja tjáningarfrelsi skorður með lögum til verndar börnum, öryggi, heilsu, réttindum eða mannorði annarra, svo sem nauðsyn ber til í lýðræðislegu þjóðfélagi."
"II. kafli","Mannréttindi og náttúra",3,14,3,1,"Skoðana- og tjáningarfrelsi","Stjórnvöld skulu tryggja aðstæður til opinnar og upplýstrar umræðu."
"II. kafli","Mannréttindi og náttúra",3,14,3,2,"Skoðana- og tjáningarfrelsi","Óheimilt er að skerða aðgang að netinu og upplýsingatækni nema með úrlausn dómara og að uppfylltum sömu efnisskilyrðum og eiga við um skorður við tjáningarfrelsi."
"II. kafli","Mannréttindi og náttúra",3,14,4,1,"Skoðana- og tjáningarfrelsi","Hver og einn ber ábyrgð á framsetningu skoðana sinna fyrir dómi."
"II. kafli","Mannréttindi og náttúra",3,15,1,1,"Upplýsingaréttur","Öllum er frjálst að safna og miðla upplýsingum."
"II. kafli","Mannréttindi og náttúra",3,15,2,1,"Upplýsingaréttur","Stjórnsýsla skal vera gegnsæ og halda til haga gögnum, svo sem fundargerðum, og skrásetja og skjalfesta erindi, uppruna þeirra, ferli og afdrif."
"II. kafli","Mannréttindi og náttúra",3,15,2,2,"Upplýsingaréttur","Slíkum gögnum má ekki eyða nema samkvæmt lögum."
"II. kafli","Mannréttindi og náttúra",3,15,3,1,"Upplýsingaréttur","Upplýsingar og gögn í fórum stjórnvalda skulu vera tiltæk án undandráttar og skal með lögum tryggja aðgang almennings að öllum gögnum sem opinberir aðilar safna eða standa straum af."
